National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
AUR05,"Automotive Industry Retail, Service and Repair Training Package",,Training package,Superseded,17/01/2013,Superseded,17/04/2005,16/01/2013,AUR12,False,AUR99,False,4.0,20/12/2011,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
AUR12,"Automotive Industry Retail, Service and Repair Training Package",,Training package,Superseded,14/04/2016,Superseded,17/01/2013,,AUR,False,AUR05,False,2.1,27/01/2015,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
AUR99,"Automotive Industry Retail, Service and Repair (Superseded by AUR05)",,Training package,Superseded,17/04/2005,Superseded,13/09/1999,16/04/2005,AUR05,False,,,1.0,13/09/1999,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
AVI08,Aviation Training Package,,Training package,Superseded,01/03/2016,Superseded,01/04/2008,,AVI,False,TDA03;ZQF00,False;False,5.0,23/12/2013,,,False,Industry Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
BCC03,Civil Construction Industry Training Package (Superseded by RII09),,Training package,Superseded,07/07/2009,Superseded,23/01/2004,06/07/2009,RII09,False,BCC98,False,3,07/09/2007,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
BCC98,Civil Construction (Superseded by BCC03),,Training package,Superseded,23/01/2004,Superseded,08/10/1998,22/01/2004,BCC03,False,,,1.0,08/10/1998,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
BCF00,Off-Site Construction Training Package (Superseded by CPC08),,Training package,Superseded,01/02/2009,Superseded,10/07/2000,31/01/2009,CPC08,False,,,1.0,10/07/2000,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
BCG03,General Construction Training Package (Superseded by CPC08),,Training package,Superseded,01/02/2009,Superseded,09/01/2004,31/01/2009,CPC08,False,BCG98,False,1.0,11/01/2003,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
BCG98,General Construction (Superseded by BCG03),,Training package,Superseded,09/01/2004,Superseded,01/12/1998,08/01/2004,BCG03,False,,,1.0,08/10/1998,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
BCP03,Plumbing and Services Training Package (Superseded by CPC08),,Training package,Superseded,01/02/2009,Superseded,20/11/2003,31/01/2009,CPC08,False,,,1.0,02/02/2009,,,False,BuildSkills Australia,,,,,,,,,,,,,,,,,,,,False,,False
BSA97,Administration (Superseded by BSB01),,Training package,Superseded,03/09/2001,Superseded,23/09/1997,02/09/2001,BSB01,False,,,1.0,23/09/1997,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
BSB01,Business Services Training Package (Superseded by BSB07),,Training package,Superseded,01/12/2007,Superseded,03/09/2001,30/11/2007,BSB07,False,BSA97,False,1.0,17/08/2001,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
BSB07,Business Services Training Package,,Training package,Superseded,25/03/2015,Superseded,01/12/2007,,BSB,False,BSB01,False,9.0,28/08/2013,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
BSZ98,Assessment and Workplace Training (Superseded by TAA04),,Training package,Superseded,01/11/2004,Superseded,22/10/1998,31/10/2004,TAA04,False,,,1.0,22/10/1998,,,False,Department of Employment and Workplace Relations (Interim),,,,,,,,,,,,,,,,,,,,False,,False
CHC02,Community Services Training Package (Superseded by CHC08),,Training package,Superseded,01/12/2008,Superseded,01/12/2002,30/11/2008,CHC08,False,CHC99,False,1.0,09/09/2007,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
CHC08,Community Services Training Package,,Training package,Superseded,08/12/2015,Superseded,01/12/2008,,CHC,False,CHC02,False,4.2,04/10/2013,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
CHC99,Community Services (Superseded by CHC02),,Training package,Superseded,01/12/2002,Superseded,15/01/1999,30/11/2002,CHC02,False,,,1.0,15/01/1999,,,False,HumanAbility,,,,,,,,,,,,,,,,,,,,False,,False
CSC01,Correctional Services Training Package (Superseded by CSC07),,Training package,Superseded,01/05/2007,Superseded,29/11/2001,30/04/2007,CSC07,False,CSC98,False,1.0,29/11/2001,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CSC98,Correctional Services (Superseded by CSC01),,Training package,Superseded,29/11/2001,Superseded,09/04/1998,28/11/2001,CSC01,False,,,1.0,09/04/1998,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUA11,Live Performance Training Package,,Training package,Superseded,15/01/2016,Superseded,06/10/2011,,CUA,False,,,1.0,06/10/2011,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUE03,Entertainment Training Package,,Training package,Superseded,15/01/2016,Superseded,30/11/2003,,CUA,False,CUE98,False,3.2,19/03/2012,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUE98,Entertainment Industry (Superseded by CUE03),,Training package,Superseded,30/11/2003,Superseded,10/09/1998,29/11/2003,CUE03,False,,,1.0,10/09/1998,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUF01,"Film, TV, Radio and Multimedia Training Package (Superseded by CUF07)",,Training package,Superseded,01/01/2008,Superseded,01/05/2001,31/12/2007,CUF07,False,,,1.0,20/12/2005,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUL04,Museum and Library - Information Services Training Package,,Training package,Superseded,20/12/2011,Superseded,05/04/2004,19/12/2011,CUL11,False,CUL99,False,2.1,05/04/2004,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
CUL99,Museum and Library/Information Services (Superseded by CUL04),,Training package,Superseded,05/04/2004,Superseded,08/06/1999,04/04/2004,CUL04,False,,,1.0,08/06/1999,,,False,Future Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
CUS01,Music Training Package,,Training package,Superseded,21/07/2011,Superseded,10/10/2005,20/07/2011,CUS09,False,,,1.0,10/10/2005,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUV,Arts and Culture Training Package,,Training package,Superseded,15/01/2016,Superseded,,,CUA,False,,,1.0,01/11/2013,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUV03,"Visual Arts, Craft and Design Training Package",,Training package,Superseded,12/10/2011,Superseded,01/08/2003,11/10/2011,CUV11,False,,,3.0,18/04/2008,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
CUV11,"Visual Arts, Crafts and Design Training Package",,Training package,Superseded,15/01/2016,Superseded,12/10/2011,,CUA,False,CUV03,False,1.0,12/10/2011,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
DEF12,Defence Training Package,,Training package,Superseded,17/08/2017,Superseded,24/01/2013,,DEF,False,,,2.0,24/01/2013,,,False,Public Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
DRT03,Drilling Training Package (Superseded by RII09),,Training package,Superseded,07/07/2009,Superseded,09/12/2003,06/07/2009,RII09,False,DRT98,False,2,25/05/2007,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
DRT98,Drilling Industry (Superseded by DRT03),,Training package,Superseded,09/12/2003,Superseded,03/02/1999,08/12/2003,DRT03,False,,,1.0,12/11/1998,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
FDF03,Food Processing Industry Training Package (Superseded by FDF10),,Training package,Superseded,31/01/2011,Superseded,01/06/2003,30/01/2011,FDF10,False,FDF98,False,1.0,03/07/2003,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
FDF10,Food Processing,,Training package,Superseded,18/12/2018,Superseded,31/01/2011,,FBP,False,FDF03;SUG02,False;False,4.1,04/01/2013,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
